test_id,test_name,score,jobs_dispatched,jobs_attended,dispatch_jobs_per_s,attended_jobs_per_s,queue_dispatch_cv,queue_dispatch_min,queue_dispatch_mean,queue_dispatch_max,worker_completed_cv,configured_workers,active_workers,sample_medium,sample_high,q_low,q_med,rho_low,rho_med
112,throughput_small,0.9963623667158521,5312589.0,51771.0,531258.9,4985.036033,0.000407,20733.0,20752.300781,20783.0,0.059976,512.0,512.0,3.0,5.0,2.0,6.0,0.8,1.2
100,sample_3_5_8,0.9059796032422955,3936977.0,51567.0,393697.7,4996.111003,0.000534,15357.0,15378.816406,15407.0,0.058027,512.0,512.0,5.0,8.0,2.0,6.0,0.8,1.2
110,small_sample_hard_q,0.8718280419960094,3418397.0,51533.0,341839.7,4998.794752,0.000633,13329.0,13353.113281,13382.0,0.057824,512.0,512.0,6.0,12.0,2.0,5.0,0.8,1.2
113,throughput_mid,0.8287277753440614,2763856.0,51432.0,276385.6,5001.332697,0.00076,10772.0,10796.3125,10818.0,0.057052,512.0,512.0,8.0,12.0,2.0,6.0,0.8,1.2
107,rho_loose,0.7988742323320709,2310687.0,51421.0,231068.7,5000.308259,0.000846,9000.0,9026.121094,9045.0,0.055598,512.0,512.0,10.0,20.0,2.0,6.0,1.0,1.8
101,sample_5_10_20,0.7978495329121815,2294098.0,51402.0,229409.8,4999.844855,0.000823,8941.0,8961.320312,8981.0,0.05413,512.0,512.0,10.0,20.0,2.0,6.0,0.8,1.2
104,q_sensitive_3_8,0.7974507035218562,2287816.0,51420.0,228781.6,5007.117761,0.00091,8918.0,8936.78125,8954.0,0.056057,512.0,512.0,10.0,20.0,3.0,8.0,0.8,1.2
105,q_sensitive_5_12,0.7972778925718604,2289374.0,51385.0,228937.4,5003.921045,0.000989,8921.0,8942.867188,8968.0,0.059914,512.0,512.0,10.0,20.0,5.0,12.0,0.8,1.2
106,rho_strict,0.7971358929306391,2286471.0,51394.0,228647.1,5000.749227,0.000943,8910.0,8931.527344,8956.0,0.057906,512.0,512.0,10.0,20.0,2.0,6.0,0.6,1.0
117,rho_priority,0.7794953603709418,2017370.0,51402.0,201737.0,5010.36833,0.001031,7861.0,7880.351562,7907.0,0.059244,512.0,512.0,12.0,24.0,3.0,8.0,0.5,0.9
116,queue_low_4_16,0.7787770522374968,2004555.0,51414.0,200455.5,5008.88494,0.001009,7807.0,7830.292969,7851.0,0.05601,512.0,512.0,12.0,24.0,4.0,16.0,0.8,1.2
118,health_less_bad,0.7781353098733746,1997254.0,51369.0,199725.4,4999.104679,0.000962,7783.0,7801.773438,7825.0,0.055769,512.0,512.0,12.0,24.0,3.0,8.0,0.8,1.2
115,queue_low_1_4,0.7743322745883809,1939715.0,51346.0,193971.5,5004.219563,0.001063,7556.0,7577.011719,7609.0,0.057195,512.0,512.0,12.0,24.0,1.0,4.0,0.8,1.2
108,balanced_soft,0.746635195451314,1518495.0,51337.0,151849.5,5014.191754,0.001333,5914.0,5931.621094,5956.0,0.057435,512.0,512.0,16.0,32.0,3.0,8.0,0.8,1.4
109,balanced_hard,0.7449781780673529,1494047.0,51360.0,149404.7,5012.275488,0.001417,5815.0,5836.121094,5859.0,0.056681,512.0,512.0,16.0,32.0,2.0,5.0,0.7,1.1
102,sample_10_20_40,0.7300758600422461,1269275.0,51348.0,126927.5,5011.019304,0.001585,4939.0,4958.105469,4979.0,0.056352,512.0,512.0,20.0,40.0,2.0,6.0,0.8,1.2
114,throughput_large,0.7181781855714204,1093307.0,51277.0,109330.7,5009.945734,0.001952,4244.0,4270.730469,4303.0,0.058598,512.0,512.0,24.0,48.0,2.0,6.0,0.8,1.2
119,wide_sample_best_guess,0.7166284322585034,1068390.0,51306.0,106839.0,5009.120806,0.001945,4156.0,4173.398438,4196.0,0.056255,512.0,512.0,25.0,50.0,3.0,8.0,0.7,1.2
111,large_sample_soft_q,0.70445654431587,887368.0,51336.0,88736.8,5015.383891,0.002358,3443.0,3466.28125,3489.0,0.059954,512.0,512.0,30.0,60.0,4.0,10.0,0.8,1.4
103,sample_20_40_80,0.6893551044164145,667118.0,51229.0,66711.8,5003.255158,0.003183,2583.0,2605.929688,2631.0,0.058586,512.0,512.0,40.0,80.0,2.0,6.0,0.8,1.2
