test_id,test_name,algorithm,score,min_w,max_w,nqueues,arrival_interval_us,jobs_dispatched,jobs_attended,dispatch_jobs_per_s,attended_jobs_per_s,queue_dispatch_cv,queue_dispatch_min,queue_dispatch_mean,queue_dispatch_max,worker_completed_cv,active_workers,configured_workers,sample_low,sample_medium,sample_high,queue_low,queue_medium,rate_low,rate_medium,rho_low,rho_medium,config
200,w0_1_base_fast,JSQ,0.5674552757650522,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19902.432306,8.376414,0.0,195.3125,16553.0,1.55091,49.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/200_w0_1_base_fast.json
200,w0_1_base_fast,LSL,0.576166257238098,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19881.775013,8.496025,0.0,195.3125,17325.0,0.707681,21.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/200_w0_1_base_fast.json
200,w0_1_base_fast,POWER_OF_2,0.9660330121577655,0.0,1.0,1024.0,50.0,199999.0,199999.0,19999.9,19888.745778,0.072012,153.0,195.311523,243.0,0.072012,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/200_w0_1_base_fast.json
200,w0_1_base_fast,BAYES_PARTIAL,0.7669922564634628,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19893.019321,0.870585,1.0,195.3125,584.0,0.870585,1024.0,1024.0,2.0,3.0,5.0,2.0,6.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/200_w0_1_base_fast.json
201,w0_1_q_tight,JSQ,0.573471644789992,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19890.263428,8.375582,0.0,195.3125,16598.0,0.935968,27.0,1024.0,2.0,3.0,5.0,1.0,4.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/201_w0_1_q_tight.json
201,w0_1_q_tight,LSL,0.5701965273798527,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19904.987523,8.478484,0.0,195.3125,17045.0,1.191637,34.0,1024.0,2.0,3.0,5.0,1.0,4.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/201_w0_1_q_tight.json
201,w0_1_q_tight,POWER_OF_2,0.9663111358374299,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19905.663082,0.072058,153.0,195.3125,242.0,0.072058,1024.0,1024.0,2.0,3.0,5.0,1.0,4.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/201_w0_1_q_tight.json
201,w0_1_q_tight,BAYES_PARTIAL,0.7671365950498485,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19903.579101,0.870874,1.0,195.3125,606.0,0.870874,1024.0,1024.0,2.0,3.0,5.0,1.0,4.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/201_w0_1_q_tight.json
202,w0_1_q_wide,JSQ,0.5621243212728295,0.0,1.0,1024.0,50.0,199999.0,199999.0,19999.9,19907.487452,8.35283,0.0,195.311523,16679.0,2.555995,109.0,1024.0,2.0,3.0,5.0,4.0,12.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/202_w0_1_q_wide.json
202,w0_1_q_wide,LSL,0.5722297030503776,0.0,1.0,1024.0,50.0,200000.0,200000.0,20000.0,19899.161002,8.490447,0.0,195.3125,17220.0,0.999245,28.0,1024.0,2.0,3.0,5.0,4.0,12.0,1.0,3.0,0.8,1.2,/home/xalotzin/bayesiana/project/generated_configs/many_queues_weight_search/202_w0_1_q_wide.json
